Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «обучение за рубежом» по регионам, 25.04.2026 — 25.05.2026, все устройства
Республика Хакасия;5;0,0000160;50,92;
Томская область;20;0,0000338;107,69;
Амурская область;21;0,0000624;198,70;
Биробиджан;2;0,0000540;172,00;
Камчатский край;5;0,0000313;99,54;
Магаданская область;1;0,0000144;46,02;
Арсеньев;1;0,0000433;137,98;
Приморский край;39;0,0000442;140,64;
Дальнегорск;1;0,0000843;268,09;
Уссурийск;3;0,0000413;131,34;
Республика Саха (Якутия);7;0,0000187;59,54;
Сахалинская область;7;0,0000286;91,19;
Хабаровский край;21;0,0000315;100,26;
Феодосия;1;0,0000212;67,46;
Судак;2;0,0001444;459,29;
Рузаевка;1;0,0000343;109,38;
Кстово;5;0,0000874;277,93;
Ревда;1;0,0000262;83,38;
Октябрьский;1;0,0000175;55,81;
Чайковский;2;0,0000420;133,65;
Лысьва;2;0,0000567;180,41;
Белорецк;1;0,0000280;89,22;
Колпинский район;1;0,0000159;50,85;
Пушкинский район;12;0,0001043;331,97;
Электросталь;3;0,0000305;97,12;
Жуковский;1;0,0000120;38,41;
Кипр;1;0,0000873;277,72;
Учалы;1;0,0000450;143,24;
Красноуфимск;1;0,0000427;136,06;
Славянск-на-Кубани;1;0,0000299;95,24;
Верхняя Пышма;2;0,0000318;101,24;
Королёв;1;0,0000050;16,01;
Кокшетау;1;0,0000365;116,14;
Барановичи;1;0,0000251;79,97;
Кызылорда;1;0,0000455;144,95;
Туркестан;3;0,0001725;548,79;
Реутов;4;0,0000408;129,81;
Ивантеевка;3;0,0000432;137,51;
Щербинка;1;0,0000286;91,25;
Лыткарино;1;0,0000244;77,90;
Лобня;1;0,0000123;39,39;
Хотьково;1;0,0000583;185,49;
Краснознаменск;2;0,0000673;214,11;
Нахабино;6;0,0001295;411,93;
Забайкальский край;6;0,0000115;36,57;
Светлогорск;1;0,0000835;265,62;
Слоним;1;0,0001230;391,18;
Колпино;1;0,0000208;66,31;
Акмолинская область;29;0,0000958;304,81;
Алматы и область;41;0,0000995;316,58;
Атырау и область;15;0,0003333;1 060,17;
Восточно-Казахстанская область;3;0,0000323;102,91;
Караганда и область;12;0,0000869;276,50;
Костанай и область;9;0,0000829;263,84;
Кызылорда и область;1;0,0000338;107,54;
Павлодар и область;2;0,0000227;72,28;
Северо-Казахстанская область;1;0,0000162;51,82;
Туркестан и область;5;0,0000440;139,94;
Минск и область;20;0,0000183;58,34;
Гомель и область;2;0,0000058;18,52;
Брест и область;1;0,0000035;11,20;
Гродно и область;2;0,0000097;31,01;
Темиртау;2;0,0001097;349,03;
Волоколамский район;2;0,0000469;149,36;
Воскресенский район;2;0,0000183;58,43;
Дмитровский городской округ;7;0,0000384;122,18;
Егорьевск (городской округ);2;0,0000293;93,21;
Истра (городской округ);13;0,0000649;206,58;
Красногорск (городской округ);32;0,0000998;317,39;
Ленинский район;13;0,0000424;135,06;
Люберцы (городской округ);14;0,0000319;101,71;
Мытищи (городской округ);9;0,0000246;78,47;
Наро-Фоминский городской округ;4;0,0000247;78,78;
Богородский (городской округ);6;0,0000292;93,02;
Одинцовский район;16;0,0000356;113,32;
Пушкинский район;5;0,0000174;55,33;
Раменский район;12;0,0000412;131,26;
Сергиево-Посадский район;12;0,0000617;196,50;
Солнечногорский район;3;0,0000131;41,74;
Чехов (городской округ);3;0,0000219;69,76;
Щёлковский район;2;0,0000091;29,07;
Всеволожский район;17;0,0000289;92,21;
Выборгский район;7;0,0000559;177,96;
