Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «виза для учебы» по регионам, 25.04.2026 — 25.05.2026, все устройства
Пермский край;9;0,00000577;96,38;
Республика Башкортостан;10;0,00000439;73,34;
Нефтекамск;2;0,00002583;430,95;
Салават;1;0,00001547;258,10;
Республика Мордовия;1;0,00000235;39,28;
Республика Татарстан;28;0,00001152;192,18;
Нижнекамск;1;0,00000775;129,29;
Самарская область;19;0,00000895;149,43;
Сызрань;1;0,00001190;198,58;
Балаково;1;0,00000933;155,72;
Саратовская область;4;0,00000271;45,32;
Удмуртская Республика;2;0,00000211;35,20;
Ульяновская область;2;0,00000279;46,62;
Чувашская Республика;4;0,00000544;90,75;
Курганская область;1;0,00000244;40,79;
Шадринск;1;0,00002325;388,01;
Верхняя Салда;1;0,00004189;698,84;
Свердловская область;14;0,00000414;69,17;
Ишим;5;0,00013152;2 194,03;
Тобольск;1;0,00001376;229,67;
Тюменская область;11;0,00000939;156,73;
Ханты-Мансийский автономный округ - Югра;4;0,00000371;61,95;
Златоуст;2;0,00002579;430,26;
Озёрск;2;0,00004576;763,45;
Челябинская область;9;0,00000414;69,20;
Алтайский край;1;0,00000080;13,49;
Иркутская область;6;0,00000405;67,71;
Кемеровская область (Кузбасс);2;0,00000140;23,39;
Красноярский край;7;0,00000374;62,51;
Новосибирская область;14;0,00000631;105,40;
Омская область;2;0,00000181;30,22;
Республика Бурятия;1;0,00000214;35,73;
Кызыл;1;0,00001119;186,70;
Томская область;1;0,00000169;28,24;
Артём;2;0,00003918;653,74;
Приморский край;7;0,00000793;132,41;
Республика Саха (Якутия);8;0,00002139;356,97;
Сахалинская область;1;0,00000409;68,34;
Амурск;1;0,00006266;1 045,42;
Хабаровский край;4;0,00000600;100,18;
Евпатория;1;0,00001410;235,37;
Ялта;1;0,00001624;270,91;
Усть-Кут;1;0,00003810;635,67;
Жуковский;1;0,00001208;201,53;
Строитель;1;0,00004282;714,37;
Реж;1;0,00005168;862,24;
Верхняя Пышма;1;0,00001591;265,56;
Волжск;1;0,00003610;602,26;
Кокшетау;2;0,00007304;1 218,50;
Щербинка;1;0,00002869;478,69;
Дзержинский;1;0,00002544;424,41;
Забайкальский край;1;0,00000191;31,97;
Акмолинская область;3;0,00000991;165,41;
Алматы и область;1;0,00000242;40,50;
Восточно-Казахстанская область;1;0,00001078;179,96;
Караганда и область;5;0,00003622;604,36;
Минск и область;8;0,00000733;122,43;
Гомель и область;4;0,00001164;194,30;
Брест и область;2;0,00000704;117,51;
Витебск и область;1;0,00000336;56,12;
Покров;2;0,00018850;3 144,58;
Новочебоксарск;2;0,00002617;436,58;
Истра (городской округ);3;0,00001499;250,08;
Красногорск (городской округ);2;0,00000623;104,06;
Ленинский район;2;0,00000653;109,00;
Люберцы (городской округ);2;0,00000456;76,22;
Мытищи (городской округ);4;0,00001096;182,95;
Наро-Фоминский городской округ;3;0,00001858;309,97;
Одинцовский район;5;0,00001113;185,78;
Пушкинский район;1;0,00000348;58,05;
Рузский городской округ;1;0,00001642;274,03;
Ступино (городской округ);1;0,00000553;92,31;
Сергиево-Посадский район;2;0,00001029;171,80;
Солнечногорский район;3;0,00001312;218,99;
Щёлковский район;3;0,00001371;228,76;
Волховский район;1;0,00002141;357,18;
Всеволожский район;4;0,00000682;113,81;
Гатчинский район;1;0,00000601;100,40;
Яковлевский район;1;0,00002367;395,00;
Александровский район;4;0,00005018;837,15;
Петушинский район;2;0,00004375;729,93;
Кстовский район;1;0,00000822;137,19;
Туймазинский район;1;0,00001680;280,31;
Балаковский район;1;0,00000864;144,19;
Усть-Кутский район;1;0,00003493;582,78;
Амурский район;1;0,00004658;777,19;
Северный Кавказ;18;0,00000557;93,02;
Провинция Анталья;1;0,00002458;410,13;
Провинция Измир;1;0,00036225;6 043,14;
Округ Белград;1;0,00008086;1 348,91;
Талгарский район;1;0,00005970;996,00;
Автономная Республика Аджария;1;0,00007703;1 285,02;
Область Абай;3;0,00008495;1 417,15;
